Телефон_new,total_orders,delivered_ratio,items,most_freq_order_size,cancel_ratio,return_ratio,revenue,margin,avg_order_value,recency_days,ДЕТСКОЕ ПИТАНИЕ,ЖЕНСКИЕ ШТУЧКИ,ИГРУШКИ,"КАНЦТОВАРЫ, КНИГИ, ДИСКИ",КОСМЕТИКА/ГИГИЕНА,КРУПНОГАБАРИТНЫЙ ТОВАР,ОБУВЬ,ПОДГУЗНИКИ,СОПУТСТВУЮЩИЕ ТОВАРЫ,"ТЕКСТИЛЬ, ТРИКОТАЖ",ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА,ТОВАРЫ ДЛЯ ЖИВОТНЫХ,ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,CENTRAL,FAR EAST,NORTH,PRIVOLZIE,SIBERIA,SOUTH,SOUTHERN,URAL,delivery_pick point,delivery_другое,delivery_курьерская,delivery_самовывоз,delivery_сдэк
55575048-53555049535376,3,1.0,16,1,0.3333333333333333,0.0,66711.0,3169.23,22237.0,45,0.0,0.0,0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.125,0.0625,0.0625,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55574949-55485249505471,15,0.4,12,1,0.4666666666666667,0.0,53737.0,743.88,8956.166666666666,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55574954-49525752515278,5,1.0,41,3,0.2,0.0,53083.0,1019.9899999999999,10616.6,0,0.5609756097560976,0.0,0.0,0.07317073170731707,0.17073170731707318,0.0,0.0,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55574853-55555451555673,7,0.5714285714285714,425,28,0.14285714285714285,0.42857142857142855,51001.0,3405.32,12750.25,7,0.7105882352941176,0.0,0.023529411764705882,0.03529411764705882,0.1011764705882353,0.002352941176470588,0.06823529411764706,0.03058823529411765,0.002352941176470588,0.018823529411764704,0.0,0.0,0.007058823529411765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55574953-48565552554877,8,0.875,302,67,0.5,0.0,45573.0,3749.49,6510.428571428572,0,0.8609271523178808,0.0,0.016556291390728478,0.013245033112582781,0.06291390728476821,0.0,0.0,0.013245033112582781,0.0033112582781456954,0.026490066225165563,0.0,0.0,0.0033112582781456954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55575056-53575048575179,6,0.8333333333333334,190,11,0.5,0.0,44188.0,5661.09,8837.6,7,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.010526315789473684,0.0,0.0,0.9789473684210527,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55574857-54544956525573,4,1.0,161,2,0.5,0.0,43613.0,4933.0,10903.25,7,0.7888198757763976,0.0,0.06832298136645963,0.018633540372670808,0.055900621118012424,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.012422360248447204,0.012422360248447204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55575650-50485650555679,6,0.5,13,1,0.5,0.0,43053.0,4960.5,14351.0,2,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55575054-51494857495774,3,1.0,102,18,0.0,0.0,42142.0,4854.03,14047.333333333334,10,0.5588235294117647,0.0,0.0392156862745098,0.049019607843137254,0.12745098039215685,0.0392156862745098,0.0,0.13725490196078433,0.0,0.029411764705882353,0.0,0.0,0.0196078431372549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55575054-50505252535072,12,1.0,19,1,0.0,0.0,42127.0,5363.84,3510.5833333333335,1,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
